InvoiceID,Date,Hour,TimeSegment,Branch,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax,Total,COGS,GrossMargin,GrossIncome,Payment,Rating,Month,City
192-98-7397,2019-01-08,14,Afternoon,C,Normal,Male,Fashion accessories,12.78,1,0.639,13.419,12.78,4.761904762,0.639,Ewallet,9.5,January,Naypyitaw
663-86-9076,2019-01-08,15,Afternoon,C,Member,Female,Food and beverages,68.54,8,27.416,575.736,548.32,4.761904762,27.416,Ewallet,8.5,January,Naypyitaw
189-08-9157,2019-01-08,16,Afternoon,C,Normal,Female,Fashion accessories,31.73,9,14.2785,299.8485,285.57,4.761904762,14.2785,Credit card,5.9,January,Naypyitaw
257-60-7754,2019-01-08,17,Evening,A,Normal,Female,Electronic accessories,50.23,4,10.046,210.966,200.92,4.761904762,10.046,Cash,9.0,January,Yangon
840-76-5966,2019-01-08,18,Evening,A,Member,Male,Sports and travel,12.76,2,1.276,26.796,25.52,4.761904762,1.276,Ewallet,7.8,January,Yangon
457-13-1708,2019-01-08,19,Evening,B,Member,Male,Fashion accessories,65.23,10,32.615,684.915,652.3,4.761904762,32.615,Credit card,5.2,January,Mandalay
845-94-6841,2019-01-08,19,Evening,C,Member,Female,Food and beverages,72.88,9,32.796,688.716,655.92,4.761904762,32.796,Cash,4.0,January,Naypyitaw
631-34-1880,2019-01-08,19,Evening,C,Member,Male,Food and beverages,24.31,3,3.6465,76.5765,72.93,4.761904762,3.6465,Credit card,4.3,January,Naypyitaw
571-94-0759,2019-01-08,20,Evening,B,Member,Female,Food and beverages,74.6,10,37.3,783.3,746.0,4.761904762,37.3,Cash,9.5,January,Mandalay
484-22-8230,2019-01-08,20,Evening,C,Member,Female,Fashion accessories,51.89,7,18.1615,381.3915,363.23,4.761904762,18.1615,Cash,4.5,January,Naypyitaw
189-40-5216,2019-01-09,11,Morning,C,Normal,Male,Electronic accessories,96.37,7,33.7295,708.3195,674.59,4.761904762,33.7295,Cash,6.0,January,Naypyitaw
867-47-1948,2019-01-09,12,Afternoon,C,Normal,Female,Home and lifestyle,15.8,10,7.9,165.9,158.0,4.761904762,7.9,Cash,7.8,January,Naypyitaw
288-62-1085,2019-01-09,13,Afternoon,A,Member,Male,Fashion accessories,38.54,5,9.635,202.335,192.7,4.761904762,9.635,Ewallet,5.6,January,Yangon
370-96-0655,2019-01-09,13,Afternoon,C,Normal,Female,Fashion accessories,49.32,6,14.796,310.716,295.92,4.761904762,14.796,Ewallet,7.1,January,Naypyitaw
554-42-2417,2019-01-09,13,Afternoon,C,Normal,Female,Sports and travel,95.44,10,47.72,1002.12,954.4,4.761904762,47.72,Cash,5.2,January,Naypyitaw
263-10-3913,2019-01-09,14,Afternoon,C,Member,Male,Fashion accessories,49.04,9,22.068,463.428,441.36,4.761904762,22.068,Credit card,8.6,January,Naypyitaw
343-75-9322,2019-01-09,16,Afternoon,B,Member,Female,Sports and travel,11.85,8,4.74,99.54,94.8,4.761904762,4.74,Cash,4.1,January,Mandalay
305-89-2768,2019-01-09,18,Evening,B,Member,Female,Home and lifestyle,21.9,3,3.285,68.985,65.7,4.761904762,3.285,Ewallet,4.7,January,Mandalay
241-11-2261,2019-01-10,10,Morning,B,Normal,Female,Fashion accessories,79.86,7,27.951,586.971,559.02,4.761904762,27.951,Credit card,5.5,January,Mandalay
887-42-0517,2019-01-10,10,Morning,C,Normal,Female,Sports and travel,83.14,7,29.099,611.079,581.98,4.761904762,29.099,Credit card,6.6,January,Naypyitaw
226-34-0034,2019-01-10,11,Morning,B,Normal,Female,Electronic accessories,13.78,4,2.756,57.876,55.12,4.761904762,2.756,Ewallet,9.0,January,Mandalay
603-07-0961,2019-01-10,11,Morning,C,Member,Male,Electronic accessories,74.79,5,18.6975,392.6475,373.95,4.761904762,18.6975,Cash,4.9,January,Naypyitaw
744-02-5987,2019-01-10,14,Afternoon,A,Member,Male,Home and lifestyle,78.38,6,23.514,493.794,470.28,4.761904762,23.514,Ewallet,5.8,January,Yangon
640-49-2076,2019-01-10,14,Afternoon,B,Normal,Male,Sports and travel,83.78,8,33.512,703.752,670.24,4.761904762,33.512,Cash,5.1,January,Mandalay
873-51-0671,2019-01-10,16,Afternoon,A,Member,Female,Sports and travel,21.98,7,7.693,161.553,153.86,4.761904762,7.693,Ewallet,5.1,January,Yangon
665-32-9167,2019-01-10,17,Evening,A,Member,Female,Health and beauty,36.26,2,3.626,76.146,72.52,4.761904762,3.626,Credit card,7.2,January,Yangon
577-34-7579,2019-01-10,17,Evening,C,Member,Male,Food and beverages,50.49,9,22.7205,477.1305,454.41,4.761904762,22.7205,Cash,5.4,January,Naypyitaw
289-15-7034,2019-01-11,10,Morning,A,Member,Male,Sports and travel,82.33,4,16.466,345.786,329.32,4.761904762,16.466,Credit card,7.5,January,Yangon
478-06-7835,2019-01-11,11,Morning,A,Normal,Male,Fashion accessories,89.69,1,4.4845,94.1745,89.69,4.761904762,4.4845,Ewallet,4.9,January,Yangon
406-46-7107,2019-01-11,11,Morning,A,Normal,Female,Home and lifestyle,96.52,6,28.956,608.076,579.12,4.761904762,28.956,Cash,4.5,January,Yangon
130-67-4723,2019-01-11,13,Afternoon,A,Member,Male,Food and beverages,48.5,6,14.55,305.55,291.0,4.761904762,14.55,Ewallet,9.4,January,Yangon
746-68-6593,2019-01-11,14,Afternoon,C,Member,Female,Sports and travel,87.16,2,8.716,183.036,174.32,4.761904762,8.716,Credit card,9.7,January,Naypyitaw
540-11-4336,2019-01-11,16,Afternoon,A,Normal,Male,Food and beverages,24.94,9,11.223,235.683,224.46,4.761904762,11.223,Credit card,5.6,January,Yangon
732-67-5346,2019-01-11,19,Evening,A,Normal,Male,Food and beverages,13.79,5,3.4475,72.3975,68.95,4.761904762,3.4475,Credit card,7.8,January,Yangon
592-46-1692,2019-01-11,20,Evening,C,Member,Female,Food and beverages,36.77,7,12.8695,270.2595,257.39,4.761904762,12.8695,Cash,7.4,January,Naypyitaw
852-62-7105,2019-01-12,11,Morning,B,Normal,Female,Fashion accessories,83.25,10,41.625,874.125,832.5,4.761904762,41.625,Credit card,4.4,January,Mandalay
533-66-5566,2019-01-12,11,Morning,B,Normal,Female,Home and lifestyle,51.07,7,17.8745,375.3645,357.49,4.761904762,17.8745,Cash,7.0,January,Mandalay
659-36-1684,2019-01-12,12,Afternoon,C,Member,Male,Sports and travel,57.12,7,19.992,419.832,399.84,4.761904762,19.992,Credit card,6.5,January,Naypyitaw
704-48-3927,2019-01-12,14,Afternoon,A,Member,Male,Electronic accessories,88.67,10,44.335,931.035,886.7,4.761904762,44.335,Ewallet,7.3,January,Yangon
381-20-0914,2019-01-12,15,Afternoon,A,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,180.09,4.761904762,9.0045,Credit card,5.7,January,Yangon
647-50-1224,2019-01-12,16,Afternoon,A,Normal,Female,Fashion accessories,29.42,10,14.71,308.91,294.2,4.761904762,14.71,Ewallet,8.9,January,Yangon
751-15-6198,2019-01-12,16,Afternoon,B,Normal,Male,Sports and travel,23.01,6,6.903,144.963,138.06,4.761904762,6.903,Ewallet,7.9,January,Mandalay
751-41-9720,2019-01-12,16,Afternoon,C,Normal,Male,Home and lifestyle,97.5,10,48.75,1023.75,975.0,4.761904762,48.75,Ewallet,8.0,January,Naypyitaw
848-07-1692,2019-01-12,17,Evening,B,Normal,Female,Health and beauty,57.22,2,5.722,120.162,114.44,4.761904762,5.722,Ewallet,8.3,January,Mandalay
197-77-7132,2019-01-12,18,Evening,B,Member,Male,Electronic accessories,91.56,8,36.624,769.104,732.48,4.761904762,36.624,Ewallet,6.0,January,Mandalay
296-11-7041,2019-01-12,20,Evening,B,Member,Female,Health and beauty,27.07,1,1.3535,28.4235,27.07,4.761904762,1.3535,Credit card,5.3,January,Mandalay
460-93-5834,2019-01-13,10,Morning,A,Normal,Male,Sports and travel,45.58,7,15.953,335.013,319.06,4.761904762,15.953,Cash,5.0,January,Yangon
195-06-0432,2019-01-13,12,Afternoon,A,Member,Male,Home and lifestyle,81.01,3,12.1515,255.1815,243.03,4.761904762,12.1515,Credit card,9.3,January,Yangon
784-08-0310,2019-01-13,13,Afternoon,C,Member,Female,Food and beverages,21.04,4,4.208,88.368,84.16,4.761904762,4.208,Cash,7.6,January,Naypyitaw
339-38-9982,2019-01-13,14,Afternoon,B,Member,Male,Fashion accessories,59.86,2,5.986,125.706,119.72,4.761904762,5.986,Ewallet,6.7,January,Mandalay
397-25-8725,2019-01-13,17,Evening,A,Member,Female,Health and beauty,39.62,9,17.829,374.409,356.58,4.761904762,17.829,Credit card,6.8,January,Yangon
732-94-0499,2019-01-13,17,Evening,C,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,416.5,4.761904762,20.825,Credit card,5.4,January,Naypyitaw
459-50-7686,2019-01-13,19,Evening,A,Normal,Female,Electronic accessories,23.46,6,7.038,147.798,140.76,4.761904762,7.038,Ewallet,6.4,January,Yangon
355-34-6244,2019-01-13,19,Evening,B,Normal,Male,Food and beverages,72.39,2,7.239,152.019,144.78,4.761904762,7.239,Credit card,8.1,January,Mandalay
327-40-9673,2019-01-13,19,Evening,B,Member,Male,Sports and travel,72.6,6,21.78,457.38,435.6,4.761904762,21.78,Cash,6.9,January,Mandalay
556-86-3144,2019-01-13,19,Evening,C,Member,Female,Fashion accessories,74.29,1,3.7145,78.0045,74.29,4.761904762,3.7145,Cash,5.0,January,Naypyitaw
559-61-5987,2019-01-14,10,Morning,B,Normal,Female,Health and beauty,17.75,1,0.8875,18.6375,17.75,4.761904762,0.8875,Cash,8.6,January,Mandalay
320-85-2052,2019-01-14,10,Morning,B,Normal,Female,Sports and travel,34.81,1,1.7405,36.5505,34.81,4.761904762,1.7405,Credit card,7.0,January,Mandalay
426-39-2418,2019-01-14,10,Morning,C,Normal,Male,Electronic accessories,61.41,7,21.4935,451.3635,429.87,4.761904762,21.4935,Cash,9.8,January,Naypyitaw
704-10-4056,2019-01-14,10,Morning,C,Member,Male,Health and beauty,60.47,3,9.0705,190.4805,181.41,4.761904762,9.0705,Credit card,5.6,January,Naypyitaw
667-23-5919,2019-01-14,12,Afternoon,A,Member,Female,Fashion accessories,96.7,5,24.175,507.675,483.5,4.761904762,24.175,Ewallet,7.0,January,Yangon
868-52-7573,2019-01-14,12,Afternoon,B,Normal,Female,Food and beverages,99.69,5,24.9225,523.3725,498.45,4.761904762,24.9225,Cash,9.9,January,Mandalay
377-79-7592,2019-01-14,14,Afternoon,C,Member,Female,Electronic accessories,44.84,9,20.178,423.738,403.56,4.761904762,20.178,Credit card,7.5,January,Naypyitaw
592-34-6155,2019-01-14,14,Afternoon,C,Normal,Male,Food and beverages,31.77,4,6.354,133.434,127.08,4.761904762,6.354,Ewallet,6.2,January,Naypyitaw
451-73-2711,2019-01-14,15,Afternoon,C,Normal,Male,Food and beverages,84.83,1,4.2415,89.0715,84.83,4.761904762,4.2415,Ewallet,8.8,January,Naypyitaw
658-66-3967,2019-01-14,15,Afternoon,C,Normal,Male,Health and beauty,53.19,7,18.6165,390.9465,372.33,4.761904762,18.6165,Ewallet,5.0,January,Naypyitaw
359-90-3665,2019-01-14,18,Evening,B,Member,Female,Fashion accessories,18.08,4,3.616,75.936,72.32,4.761904762,3.616,Credit card,9.5,January,Mandalay
588-47-8641,2019-01-14,19,Evening,A,Member,Male,Fashion accessories,56.04,10,28.02,588.42,560.4,4.761904762,28.02,Ewallet,4.4,January,Yangon
785-13-7708,2019-01-14,19,Evening,B,Normal,Male,Food and beverages,73.06,7,25.571,536.991,511.42,4.761904762,25.571,Credit card,4.2,January,Mandalay
589-02-8023,2019-01-15,10,Morning,A,Member,Male,Food and beverages,83.77,2,8.377,175.917,167.54,4.761904762,8.377,Credit card,7.0,January,Yangon
301-11-9629,2019-01-15,10,Morning,A,Normal,Female,Sports and travel,19.1,7,6.685,140.385,133.7,4.761904762,6.685,Cash,9.7,January,Yangon
437-58-8131,2019-01-15,13,Afternoon,B,Normal,Female,Fashion accessories,73.52,2,7.352,154.392,147.04,4.761904762,7.352,Ewallet,4.6,January,Mandalay
744-16-7898,2019-01-15,13,Afternoon,B,Normal,Female,Home and lifestyle,97.37,10,48.685,1022.385,973.7,4.761904762,48.685,Credit card,4.9,January,Mandalay
138-17-5109,2019-01-15,15,Afternoon,A,Member,Female,Home and lifestyle,89.21,9,40.1445,843.0345,802.89,4.761904762,40.1445,Credit card,6.5,January,Yangon
188-55-0967,2019-01-15,15,Afternoon,B,Member,Male,Health and beauty,66.47,10,33.235,697.935,664.7,4.761904762,33.235,Credit card,5.0,January,Mandalay
660-29-7083,2019-01-15,15,Afternoon,C,Normal,Male,Electronic accessories,55.87,10,27.935,586.635,558.7,4.761904762,27.935,Cash,5.8,January,Naypyitaw
299-46-1805,2019-01-15,16,Afternoon,B,Member,Female,Sports and travel,93.72,6,28.116,590.436,562.32,4.761904762,28.116,Cash,4.5,January,Mandalay
272-65-1806,2019-01-15,17,Evening,A,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,547.92,4.761904762,27.396,Ewallet,4.7,January,Yangon
886-54-6089,2019-01-15,17,Evening,A,Normal,Female,Home and lifestyle,11.43,6,3.429,72.009,68.58,4.761904762,3.429,Cash,7.7,January,Yangon
369-82-2676,2019-01-15,18,Evening,B,Normal,Male,Electronic accessories,75.66,5,18.915,397.215,378.3,4.761904762,18.915,Ewallet,7.8,January,Mandalay
450-28-2866,2019-01-15,19,Evening,C,Member,Male,Food and beverages,17.44,5,4.36,91.56,87.2,4.761904762,4.36,Cash,8.1,January,Naypyitaw
314-23-4520,2019-01-15,20,Evening,C,Member,Male,Health and beauty,81.23,7,28.4305,597.0405,568.61,4.761904762,28.4305,Cash,9.0,January,Naypyitaw
842-29-4695,2019-01-16,12,Afternoon,C,Member,Male,Sports and travel,17.14,7,5.999,125.979,119.98,4.761904762,5.999,Credit card,7.9,January,Naypyitaw
234-65-2137,2019-01-16,13,Afternoon,C,Normal,Male,Home and lifestyle,95.58,10,47.79,1003.59,955.8,4.761904762,47.79,Cash,4.8,January,Naypyitaw
372-62-5264,2019-01-16,14,Afternoon,C,Normal,Female,Food and beverages,52.6,9,23.67,497.07,473.4,4.761904762,23.67,Cash,7.6,January,Naypyitaw
659-65-8956,2019-01-16,15,Afternoon,B,Member,Male,Fashion accessories,51.36,1,2.568,53.928,51.36,4.761904762,2.568,Ewallet,5.2,January,Mandalay
859-71-0933,2019-01-16,15,Afternoon,C,Member,Female,Sports and travel,15.49,2,1.549,32.529,30.98,4.761904762,1.549,Cash,6.3,January,Naypyitaw
648-83-1321,2019-01-16,17,Evening,A,Member,Male,Home and lifestyle,63.56,10,31.78,667.38,635.6,4.761904762,31.78,Cash,4.3,January,Yangon
618-34-8551,2019-01-16,18,Evening,A,Normal,Female,Sports and travel,93.18,2,9.318,195.678,186.36,4.761904762,9.318,Credit card,8.5,January,Yangon
347-72-6115,2019-01-16,18,Evening,B,Member,Female,Sports and travel,90.74,7,31.759,666.939,635.18,4.761904762,31.759,Credit card,6.2,January,Mandalay
677-11-0152,2019-01-16,18,Evening,C,Normal,Female,Food and beverages,93.26,9,41.967,881.307,839.34,4.761904762,41.967,Cash,8.8,January,Naypyitaw
286-62-6248,2019-01-16,20,Evening,B,Normal,Male,Fashion accessories,39.21,4,7.842,164.682,156.84,4.761904762,7.842,Credit card,9.0,January,Mandalay
349-97-8902,2019-01-17,10,Morning,B,Member,Male,Food and beverages,57.89,2,5.789,121.569,115.78,4.761904762,5.789,Ewallet,8.9,January,Mandalay
679-22-6530,2019-01-17,10,Morning,B,Normal,Female,Sports and travel,40.62,2,4.062,85.302,81.24,4.761904762,4.062,Credit card,4.1,January,Mandalay
